zipcode,number_of_customers,Percentage
94301,148,0.03
89102,147,0.03
94131,147,0.03
95125,147,0.03
96002,147,0.03
32601,147,0.03
48103,147,0.03
98027,147,0.03
22630,147,0.03
12561,146,0.02
33180,146,0.02
36117,146,0.02
72149,146,0.02
91364,146,0.02
95348,146,0.02
85248,145,0.02
90401,145,0.02
91326,145,0.02
97402,145,0.02
33172,145,0.02
44691,145,0.02
61822,145,0.02
11378,145,0.02
18104,145,0.02
98226,145,0.02
59801,144,0.02
78717,144,0.02
88001,144,0.02
90275,144,0.02
95624,144,0.02
74074,143,0.02
92505,143,0.02
94130,143,0.02
01430,143,0.02
06098,142,0.02
10306,142,0.02
23233,142,0.02
60606,142,0.02
94127,142,0.02
91764,141,0.02
92780,141,0.02
02747,141,0.02
11040,141,0.02
19701,141,0.02
17602,140,0.02
21740,140,0.02
55902,140,0.02
30071,139,0.02
34234,139,0.02
35404,139,0.02
07020,139,0.02
11235,139,0.02
14456,139,0.02
27701,139,0.02
01475,138,0.02
21921,138,0.02
22003,138,0.02
68845,138,0.02
77584,138,0.02
91708,138,0.02
30022,138,0.02
32114,138,0.02
32828,137,0.02
10069,137,0.02
21044,137,0.02
98119,137,0.02
84341,137,0.02
91203,137,0.02
84115,136,0.02
92069,136,0.02
92503,136,0.02
92660,136,0.02
07039,136,0.02
11756,136,0.02
20147,136,0.02
21620,136,0.02
55812,136,0.02
57006,136,0.02
61761,136,0.02
48084,135,0.02
54481,135,0.02
01095,135,0.02
01545,135,0.02
19147,135,0.02
20815,135,0.02
85304,135,0.02
90032,135,0.02
91342,135,0.02
91724,135,0.02
94612,135,0.02
98030,135,0.02
91010,134,0.02
91701,134,0.02
94597,134,0.02
01602,133,0.02
06516,133,0.02
06757,133,0.02
10304,133,0.02
11221,133,0.02
01970,132,0.02
63110,132,0.02
33431,132,0.02
34756,131,0.02
47404,131,0.02
76798,131,0.02
07470,131,0.02
10601,131,0.02
28202,131,0.02
70808,130,0.02
79424,130,0.02
90013,130,0.02
92656,130,0.02
37916,130,0.02
43615,130,0.02
89503,129,0.02
92833,129,0.02
01603,129,0.02
02482,129,0.02
05753,129,0.02
11794,129,0.02
99362,129,0.02
75275,128,0.02
91202,128,0.02
92504,128,0.02
92691,128,0.02
92804,128,0.02
95148,128,0.02
30340,128,0.02
48197,128,0.02
03820,128,0.02
11218,128,0.02
11553,128,0.02
12308,128,0.02
17402,128,0.02
21804,128,0.02
07103,127,0.02
78229,127,0.02
79401,127,0.02
89123,127,0.02
90631,127,0.02
46032,127,0.02
55811,127,0.02
08820,126,0.02
16125,126,0.02
19355,126,0.02
98031,126,0.02
83440,126,0.02
84111,126,0.02
94552,126,0.02
71270,125,0.02
75002,125,0.02
75044,125,0.02
91752,125,0.02
91763,125,0.02
92887,125,0.02
97230,125,0.02
02806,125,0.02
10463,125,0.02
13790,125,0.02
21043,125,0.02
32503,125,0.02
36849,125,0.02
46511,125,0.02
30080,124,0.02
31406,124,0.02
37919,124,0.02
44094,124,0.02
45420,124,0.02
04967,124,0.02
11421,124,0.02
12065,124,0.02
21205,124,0.02
23186,124,0.02
23187,124,0.02
27713,124,0.02
92374,124,0.02
94583,124,0.02
70002,123,0.02
84647,123,0.02
92553,123,0.02
02474,123,0.02
06258,123,0.02
07079,123,0.02
15224,123,0.02
19382,123,0.02
20166,123,0.02
33131,123,0.02
37920,123,0.02
60602,123,0.02
32746,122,0.02
34787,122,0.02
02149,122,0.02
02421,122,0.02
11379,122,0.02
12538,122,0.02
65804,122,0.02
74133,122,0.02
92056,122,0.02
94506,122,0.02
72801,121,0.02
78746,121,0.02
79416,121,0.02
92373,121,0.02
92705,121,0.02
95630,121,0.02
11753,121,0.02
11780,121,0.02
21042,121,0.02
32826,121,0.02
35630,121,0.02
56001,121,0.02
98042,121,0.02
11237,120,0.02
12604,120,0.02
15904,120,0.02
77082,120,0.02
91030,120,0.02
92008,120,0.02
60302,120,0.02
48603,119,0.02
50013,119,0.02
55113,119,0.02
11784,119,0.02
20877,119,0.02
65202,119,0.02
95926,119,0.02
65802,118,0.02
79912,118,0.02
85226,118,0.02
90041,118,0.02
45440,118,0.02
47306,118,0.02
11776,118,0.02
06810,117,0.02
11105,117,0.02
11738,117,0.02
11787,117,0.02
12729,117,0.02
21117,117,0.02
22901,117,0.02
23462,117,0.02
94710,117,0.02
95111,117,0.02
98002,117,0.02
39056,117,0.02
45044,117,0.02
48202,117,0.02
49546,117,0.02
54911,117,0.02
30043,116,0.02
30319,116,0.02
37027,116,0.02
60564,116,0.02
80946,116,0.02
92806,116,0.02
94110,116,0.02
01801,116,0.02
07054,116,0.02
11746,116,0.02
14618,116,0.02
02128,115,0.02
90504,115,0.02
43215,115,0.02
55344,115,0.02
57401,115,0.02
63139,114,0.02
75052,114,0.02
92557,114,0.02
95831,114,0.02
04426,114,0.02
10280,114,0.02
02740,113,0.02
12901,113,0.02
78758,113,0.02
90031,113,0.02
92805,113,0.02
33155,113,0.02
37604,112,0.02
45750,112,0.02
46227,112,0.02
60604,112,0.02
77056,112,0.02
93401,112,0.02
93405,112,0.02
94551,112,0.02
19154,112,0.02
19904,112,0.02
20170,112,0.02
99208,112,0.02
75067,111,0.02
30328,111,0.02
10004,111,0.02
19446,111,0.02
11249,110,0.02
12520,110,0.02
23059,110,0.02
72143,110,0.02
91311,110,0.02
92868,110,0.02
94027,110,0.02
97504,110,0.02
98403,110,0.02
30609,110,0.02
