order_date,total_purchases
2017-12-06,2645
2016-10-12,2640
2016-10-14,2634
2016-02-07,2632
2018-05-28,2632
2017-06-06,2631
2017-08-19,2631
2017-06-19,2628
2017-02-06,2627
2017-12-11,2627
2017-07-05,2623
2018-04-13,2623
2017-12-01,2619
2018-12-26,2619
2017-08-15,2618
2017-02-08,2615
2017-03-12,2612
2017-11-15,2611
2017-07-11,2602
2017-12-20,2600
2017-12-02,2599
2016-09-07,2598
2017-03-11,2597
2018-08-31,2595
2017-06-09,2587
2017-08-16,2583
2017-08-18,2579
2017-04-20,2577
2018-11-29,2576
2018-04-06,2572
2016-10-09,2571
2017-05-11,2566
2018-11-18,2566
2016-12-11,2564
2017-05-07,2560
2018-04-28,2560
2017-06-21,2558
2017-05-08,2554
2017-06-27,2553
2016-10-27,2552
2018-08-12,2548
2016-10-04,2537
2017-07-12,2537
2017-08-17,2532
2018-06-29,2532
2017-02-07,2531
2017-06-07,2531
2017-04-15,2524
2018-12-18,2517
2016-09-27,2514
2018-06-27,2510
2018-04-27,2509
2018-12-25,2507
2017-04-08,2505
2017-05-20,2505
2018-11-17,2504
2017-04-07,2503
2017-06-13,2502
2018-05-23,2496
2018-05-04,2495
2018-12-15,2494
2018-12-20,2486
2016-09-17,2483
2018-11-30,2479
2017-02-13,2475
2017-06-14,2474
2018-06-02,2467
2018-06-06,2464
2016-10-19,2458
2017-05-06,2456
2017-05-23,2455
2017-03-09,2454
2018-05-10,2436
2018-12-14,2435
2018-06-04,2430
2017-07-06,2427
2016-10-03,2421
2017-07-17,2419
2016-09-30,2417
2018-01-02,2415
2017-12-07,2412
2017-06-12,2406
2017-04-22,2402
2018-12-30,2398
2018-05-18,2392
2018-06-05,2390
2016-10-22,2383
2017-11-17,2382
2016-09-20,2370
2018-06-21,2368
2018-06-26,2367
2018-06-25,2364
2018-12-19,2362
2017-07-25,2357
2017-02-04,2355
2018-06-01,2354
2017-05-27,2352
2018-05-19,2348
2017-04-13,2345
2018-12-29,2342
2016-11-02,2338
2017-06-16,2332
2018-06-12,2320
2018-12-31,2316
2018-06-10,2314
2018-06-18,2305
2017-05-28,2303
2016-09-25,2301
2016-12-30,2301
2018-06-11,2301
2017-06-15,2300
2018-08-08,2297
2017-06-18,2289
2017-06-26,2283
2016-10-20,2281
2018-11-16,2280
2018-12-21,2277
2018-05-27,2276
2016-03-17,2275
2017-04-21,2272
2018-08-09,2272
2016-11-12,2271
2016-10-08,2267
2018-05-12,2267
2018-06-13,2267
2018-08-11,2266
2017-07-21,2264
2016-10-29,2263
2018-06-07,2261
2016-09-05,2255
2017-05-13,2254
2016-09-26,2253
2017-07-18,2248
2018-06-24,2244
2018-12-24,2243
2017-07-24,2235
2018-07-30,2233
2017-07-27,2232
2018-08-07,2229
2016-09-11,2226
2017-06-10,2225
2018-01-01,2222
2017-07-26,2221
2017-01-05,2220
2017-07-04,2215
2017-02-11,2213
2018-06-09,2213
2016-12-20,2211
2017-07-14,2210
2017-06-11,2209
2016-08-23,2208
2018-05-26,2190
2016-10-28,2189
2018-07-31,2185
2018-08-06,2184
2016-09-21,2182
2017-12-21,2182
2016-10-06,2181
2017-06-25,2181
2017-06-05,2178
2018-07-04,2178
2017-12-15,2176
2017-06-28,2171
2018-07-14,2167
2017-07-13,2166
2017-06-04,2165
2017-05-31,2157
2018-05-11,2150
2018-07-15,2149
2017-02-10,2148
2016-09-13,2144
2017-05-12,2144
2016-09-04,2143
2017-06-22,2140
2017-12-27,2140
2017-12-29,2139
2017-06-02,2138
2016-09-16,2135
2017-06-17,2135
2018-05-24,2132
2017-06-01,2131
2017-07-09,2124
2017-12-16,2122
2017-03-10,2119
2017-06-29,2117
2017-07-31,2115
2016-09-06,2112
2017-07-19,2112
2016-09-10,2103
2018-08-10,2102
2018-06-22,2100
2018-06-17,2096
2018-06-23,2096
2016-12-31,2095
2017-08-04,2094
2018-12-22,2094
2016-09-08,2085
2016-03-18,2084
2017-12-13,2079
2016-10-07,2078
2016-09-28,2075
2017-07-03,2074
2018-06-08,2074
2018-08-02,2072
2016-11-14,2071
2017-07-23,2068
2016-12-26,2066
2018-05-25,2065
2017-07-28,2058
2016-11-13,2057
2016-09-24,2055
2017-07-22,2055
2018-08-01,2054
2017-12-28,2050
2017-08-06,2048
2017-12-22,2048
2017-06-30,2047
2018-08-05,2046
2017-08-05,2043
2017-12-26,2043
2017-07-16,2039
2017-07-01,2038
2018-07-09,2037
2017-07-02,2032
2016-09-23,2028
2018-07-01,2026
2018-07-03,2023
2018-07-23,2019
2018-07-24,2019
2016-12-23,2014
2017-07-15,2014
2018-07-22,2010
2016-12-22,2008
2016-03-21,2005
2017-07-20,2005
2016-12-25,2003
2016-03-06,2001
2017-07-30,1995
2016-08-28,1994
2017-12-25,1987
2016-04-10,1986
2016-09-01,1983
2016-09-03,1980
2018-07-17,1980
2018-07-16,1979
2018-07-19,1975
2017-06-23,1971
2018-06-15,1968
2016-11-20,1955
2018-12-23,1954
2016-08-12,1952
2017-07-29,1948
2018-07-29,1942
2017-12-14,1941
2016-04-25,1934
2018-06-16,1932
2018-07-25,1925
2018-06-14,1920
2018-08-04,1917
2018-08-03,1913
2016-04-01,1902
2016-08-21,1875
2017-07-07,1874
2016-09-14,1861
2017-06-24,1860
2017-06-03,1857
2018-07-26,1854
2018-07-18,1852
2016-09-09,1840
2017-12-30,1840
2018-07-21,1840
2016-01-24,1838
2016-01-23,1837
2016-12-24,1837
2018-07-10,1837
2018-07-20,1836
2017-08-02,1824
2017-07-08,1819
2018-07-11,1813
2018-07-27,1812
2018-07-06,1802
2016-08-29,1800
2016-03-19,1798
2016-08-31,1798
2016-09-29,1794
2016-02-04,1790
2016-09-02,1787
2016-03-22,1781
2016-08-22,1781
2017-12-23,1780
2016-03-20,1775
2016-08-15,1775
2017-08-01,1766
2017-08-03,1766
2016-06-30,1759
2016-01-18,1758
2016-03-23,1757
2018-07-28,1751
2016-05-26,1739
2018-07-05,1724
2016-01-31,1709
2018-07-12,1703
2018-07-08,1694
2016-08-27,1686
2016-02-28,1656
2016-09-19,1651
2016-01-25,1648
2018-07-13,1633
2016-01-17,1629
2016-02-02,1620
2016-08-20,1617
2017-12-31,1609
2018-07-07,1606
2017-12-24,1605
2016-04-30,1591
2016-01-28,1587
2016-03-02,1579
2016-05-01,1575
2016-12-14,1570
2016-01-27,1568
2016-08-16,1565
2016-08-24,1557
2016-01-22,1555
2016-03-07,1555
2016-01-16,1534
2016-11-19,1533
2016-04-09,1529
2016-08-17,1527
2016-11-16,1521
2016-12-21,1518
2016-12-13,1515
2016-03-03,1508
2016-12-04,1507
2016-02-29,1504
2016-12-15,1504
2016-02-03,1498
2016-01-30,1495
2016-08-26,1495
2016-02-26,1486
2016-01-26,1485
2016-04-23,1480
2016-01-19,1474
2016-02-21,1474
2016-04-24,1470
2016-02-01,1465
2016-11-17,1450
2016-04-29,1446
2016-02-27,1445
2016-01-20,1444
2016-03-08,1434
2016-02-24,1430
2016-11-15,1429
2016-12-16,1426
2016-08-18,1421
2016-12-17,1420
2016-02-25,1405
2016-05-02,1404
2016-12-27,1402
2016-01-15,1392
2016-04-17,1385
2016-04-22,1383
2016-03-01,1382
2016-04-26,1378
2016-12-01,1372
2016-12-07,1371
2016-04-08,1360
2016-05-30,1359
2016-01-21,1348
2016-05-03,1348
2016-12-08,1348
2016-04-16,1346
2016-12-29,1346
2016-12-18,1345
2016-06-16,1341
2016-02-15,1338
2016-07-12,1330
2016-02-18,1328
2016-01-03,1323
2016-02-22,1323
2016-01-02,1322
2016-01-29,1313
2016-01-10,1312
2016-11-18,1309
2016-04-05,1304
